,"gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score",min,median,max,mean/std
0,"female,group B,bachelor's degree,standard,none,72.0,72.0,74.0","female,group B,bachelor's degree,standard,none,72.0,72.0,74.0",,,nan/nan
1,"female,group C,some college,standard,completed,69.0,90.0,88.0","female,group C,some college,standard,completed,69.0,90.0,88.0",,,nan/nan
2,"female,group B,master's degree,standard,none,90.0,95.0,93.0","female,group B,master's degree,standard,none,90.0,95.0,93.0",,,nan/nan
3,"male,group A,associate's degree,free/reduced,none,47.0,57.0,44.0","male,group A,associate's degree,free/reduced,none,47.0,57.0,44.0",,,nan/nan
4,"male,group C,some college,standard,none,,78.0,75.0","male,group C,some college,standard,none,,78.0,75.0",,,nan/nan
5,"female,group B,associate's degree,standard,none,71.0,83.0,78.0","female,group B,associate's degree,standard,none,71.0,83.0,78.0",,,nan/nan
6,"female,group B,some college,standard,completed,88.0,95.0,92.0","female,group B,some college,standard,completed,88.0,95.0,92.0",,,nan/nan
7,"male,group B,some college,free/reduced,none,40.0,43.0,39.0","male,group B,some college,free/reduced,none,40.0,43.0,39.0",,,nan/nan
8,"male,group D,high school,free/reduced,completed,64.0,64.0,67.0","male,group D,high school,free/reduced,completed,64.0,64.0,67.0",,,nan/nan
9,"female,group B,high school,,none,38.0,60.0,50.0","female,group B,high school,,none,38.0,60.0,50.0",,,nan/nan
10,"male,group C,associate's degree,standard,none,58.0,54.0,52.0","male,group C,associate's degree,standard,none,58.0,54.0,52.0",,,nan/nan
11,"male,group D,associate's degree,standard,none,40.0,52.0,43.0","male,group D,associate's degree,standard,none,40.0,52.0,43.0",,,nan/nan
12,"female,group B,high school,,none,65.0,81.0,73.0","female,group B,high school,,none,65.0,81.0,73.0",,,nan/nan
13,"male,group A,some college,standard,completed,78.0,72.0,70.0","male,group A,some college,standard,completed,78.0,72.0,70.0",,,nan/nan
14,"female,group A,master's degree,standard,none,50.0,53.0,58.0","female,group A,master's degree,standard,none,50.0,53.0,58.0",,,nan/nan
15,"female,group C,some high school,standard,none,69.0,75.0,78.0","female,group C,some high school,standard,none,69.0,75.0,78.0",,,nan/nan
16,"male,group C,high school,standard,none,88.0,89.0,86.0","male,group C,high school,standard,none,88.0,89.0,86.0",,,nan/nan
17,"female,group B,some high school,free/reduced,none,18.0,32.0,28.0","female,group B,some high school,free/reduced,none,18.0,32.0,28.0",,,nan/nan
18,"male,group C,master's degree,free/reduced,completed,46.0,42.0,46.0","male,group C,master's degree,free/reduced,completed,46.0,42.0,46.0",,,nan/nan
19,"female,group C,associate's degree,free/reduced,none,54.0,58.0,61.0","female,group C,associate's degree,free/reduced,none,54.0,58.0,61.0",,,nan/nan
20,"male,group D,high school,standard,none,66.0,69.0,63.0","male,group D,high school,standard,none,66.0,69.0,63.0",,,nan/nan
21,"female,group B,,free/reduced,completed,65.0,75.0,70.0","female,group B,,free/reduced,completed,65.0,75.0,70.0",,,nan/nan
22,",group D,some college,standard,none,44.0,54.0,53.0",",group D,some college,standard,none,44.0,54.0,53.0",,,nan/nan
23,"female,group C,some high school,standard,none,69.0,73.0,73.0","female,group C,some high school,standard,none,69.0,73.0,73.0",,,nan/nan
24,"male,group D,bachelor's degree,free/reduced,completed,74.0,71.0,80.0","male,group D,bachelor's degree,free/reduced,completed,74.0,71.0,80.0",,,nan/nan
